gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,stat
LINC00115,23.9473803606784,3.3864627370742,0.428101202672557,4.7686746603417e-10,5.61293740890307e-08,Upregulated
ISG15,3114.90948614851,2.31834871252386,0.913244441018312,0.0023758555785385,0.0490718116217347,Upregulated
PER3,98.1084142603633,3.31754022672376,0.335387725767299,1.09672652466539e-13,2.18313091733393e-11,Upregulated
OTUD3,106.012536586864,2.25863193443054,0.295730806331394,7.7154245461443e-07,4.36970655466984e-05,Upregulated
ZNF436,275.277641467484,2.97818258286072,0.254030935975412,2.29339882383193e-16,6.89854366208643e-14,Upregulated
PNRC2,298.184785961726,1.75225356585283,0.297954663935161,0.000777663063458813,0.0191389949581427,Upregulated
FAM110D,7.62190807878772,6.64157545452915,5.64393085436487,6.72553673915451e-05,0.00237554107926404,Upregulated
CNKSR1,104.641555353839,3.04911509711491,0.557105900139549,4.21373841799941e-06,0.00020516965189223,Upregulated
GPR3,24.1369878857168,2.61373447032468,0.390211404837212,1.02851464835273e-06,5.70572716397647e-05,Upregulated
THEMIS2,136.973232701853,4.5766311817699,0.75473258713847,1.48162839990932e-08,1.21547406188925e-06,Upregulated
EYA3,212.970989587398,1.51845763512037,0.192439376972014,0.000886035980382557,0.0214935179757317,Upregulated
ZC3H12A,1034.49575610921,2.92968741642886,0.362209873970558,2.85959997836987e-09,2.74521597923507e-07,Upregulated
SNIP1,237.872946435347,3.06829394213862,0.21032809601506,2.61741607985758e-24,2.53066743263944e-21,Upregulated
RLF,588.308039806366,3.64550401168302,0.329683547744987,1.68676892019564e-17,6.00844844836003e-15,Upregulated
TMEM125,27.488583653048,13.7920779862794,1.11822459864258,4.7593482603172e-31,8.05281725645671e-28,Upregulated
GPBP1L1,707.290454391161,1.68662842153144,0.162074487248892,2.00139040030791e-06,0.000103006921895695,Upregulated
PRPF38A,294.062012898617,1.40580966211047,0.12221254261616,0.000162116134339643,0.00504460688372739,Upregulated
MYSM1,280.151815914106,2.15188661589061,0.276784352963117,1.26753190537034e-06,6.9182709157633e-05,Upregulated
JUN,2437.60070885524,2.47526580037012,0.392092718647593,4.98747595415729e-06,0.000235228134200255,Upregulated
PDE4B,633.038708022767,1.90674092688786,0.408125777446843,0.00121940138930061,0.0278814479823869,Upregulated
MIER1,508.985157662833,2.19237450831513,0.286874384163727,1.25052840385874e-06,6.85309816786717e-05,Upregulated
IFI44L,604.351875005319,4.27690592877307,1.24384970757592,2.59813926874666e-05,0.00101349893780273,Upregulated
IFI44,657.713450341389,5.07531015157006,0.901454157401939,2.77633771503404e-08,2.14745756061147e-06,Upregulated
C1orf52,174.991686942071,1.52901989201108,0.16177514525799,0.000137275378772943,0.004424189350168,Upregulated
BCL10,356.850888886181,2.39750095012975,0.244504707642968,4.28761544817095e-10,5.09097918477561e-08,Upregulated
GTF2B,400.6763082003,1.8388075437254,0.278013879650395,0.000149490187543253,0.00474286710148254,Upregulated
F3,4982.43006726175,2.0888955277604,0.451065272148642,0.000553129917443511,0.0144539895029254,Upregulated
PTBP2,127.766370994676,1.72388029749516,0.282340497088544,0.000746461304517813,0.018438139083856,Upregulated
PRPF38B,581.631864079988,1.66609632292969,0.260669133521018,0.000880734898049233,0.0214032811130959,Upregulated
GSTM1,20.9080787405231,-20.3570151229366,1.05753913126336,5.29717543963945e-76,7.17025667509596e-72,Downregulated
RBM15,173.246227219319,1.75141503929292,0.208078585551927,2.24080481990169e-05,0.000886886960297933,Upregulated
C1orf162,105.833429121562,2.32893468987212,0.849056608195611,0.00200713978146951,0.04245100637808,Upregulated
RSBN1,125.143660255017,2.54602161949551,0.279632591578942,1.1869557804982e-09,1.24547546083904e-07,Upregulated
HIST2H2BF,19.4337543041452,3.56267527083574,0.578616292077943,1.30112357382644e-07,8.59122375381204e-06,Upregulated
HIST2H2BE,430.853757881964,3.88456611524486,0.332311548490093,5.34882594747534e-20,2.49661062155263e-17,Upregulated
MCL1,4564.41578365977,1.55915282549751,0.175453903001158,0.000168067179260982,0.00518213516737279,Upregulated
POGZ,612.434928122834,1.60030565362195,0.216484851144402,0.000560894411694101,0.0145445723308263,Upregulated
S100A7,27.6535195525256,2.62091730079288,1.64074833366042,0.00155681453946301,0.0344330745198878,Upregulated
CRTC2,450.876612016381,1.92977571682824,0.221744976546646,1.46074201842172e-06,7.84659418286342e-05,Upregulated
EFNA3,105.99233516539,3.21709823203064,0.40100381553151,7.30966769489946e-10,7.97932757404509e-08,Upregulated
EFNA1,1275.02702690387,4.86110688903236,0.439706961885485,1.46090741548049e-20,8.23951782330997e-18,Upregulated
YY1AP1,565.209745508485,1.52414692862043,0.162696048259643,0.000164444462658287,0.00509363900810656,Upregulated
RIT1,519.088040893954,1.62416105495451,0.221924249655331,0.000467659153027471,0.0125849588377333,Upregulated
SEMA4A,84.6063452907404,3.6980583576883,0.556426538611443,1.62951629654966e-08,1.32078638264049e-06,Upregulated
IFI16,1366.01137744106,2.27573824632479,0.453585379132071,0.000144817170075178,0.00463414944240571,Upregulated
POU2F1,236.226362064758,1.79451728870267,0.241496879489066,6.56960212893402e-05,0.00232790927793851,Upregulated
SELE,194.546077853701,6.19096038582861,1.05416087449804,1.18678985770923e-09,1.24547546083904e-07,Upregulated
METTL18,62.3509851198284,1.62258982177091,0.206633465823363,0.000251521956375722,0.00738525206399516,Upregulated
ABL2,702.794393828303,2.36438219517726,0.274796052524971,2.56484892026745e-08,1.99527557383564e-06,Upregulated
CEP350,530.545073801295,1.63962059536577,0.274897343367287,0.00172151979867973,0.0373437371713603,Upregulated
IER5,1224.05827458952,2.63097366155708,0.231263739167202,7.06270638429338e-14,1.42687751668351e-11,Upregulated
PTGS2,2163.23822714894,1.98783258055286,0.521382498548676,0.0021360002492656,0.0447568101765622,Upregulated
KDM5B,1016.57746443737,1.57846365952973,0.218423508725122,0.000855353713752386,0.0208990394753652,Upregulated
ZC3H11A,1319.66009324932,1.55745325058217,0.20349083607298,0.000696104195326547,0.0173526084492452,Upregulated
PPP1R15B,932.141240122793,2.27344184488874,0.225477546024607,6.62097619406868e-10,7.46846114690947e-08,Upregulated
MDM4,239.38719398295,2.36701153345397,0.218934299936798,1.74425767581085e-11,2.56633390214953e-09,Upregulated
RASSF5,105.802269578874,2.14242208358289,0.31012403847779,8.94111646795869e-06,0.000389154188135977,Upregulated
PIGR,185.811911876263,3.88106817527975,0.912558473361599,1.03801632187462e-05,0.000443236243939901,Upregulated
YOD1,531.436607863221,1.74415293269325,0.334120004693991,0.00169942365308263,0.0370425097715401,Upregulated
CD34,48.7454667006285,13.1243811549085,1.52064958608213,1.79862134617274e-16,5.6618926841382e-14,Upregulated
ATF3,951.851049236691,3.34430933256878,0.679107300753051,6.90468230858401e-06,0.000310504251591339,Upregulated
PROX1,16.1206298959292,4.08279581483736,0.603626727235185,3.28900419823588e-09,3.13520850896626e-07,Upregulated
DUSP10,267.828419846419,1.87375161581159,0.308496034096175,0.000248467883621748,0.00731143754935649,Upregulated
WDR26,1072.70762539631,1.70713898970242,0.207236928491599,5.20097255842532e-05,0.00188740923728807,Upregulated
EPHX1,1155.82852759891,-2.24244757609611,0.341817880198396,9.74913828253087e-06,0.000417608657570689,Downregulated
EXOC8,230.016282115601,1.51545231514624,0.217817186055589,0.00218818355443641,0.045708723137116,Upregulated
ARID4B,724.928890157393,2.35627891261921,0.24806612239188,1.78301157934027e-09,1.81464998029699e-07,Upregulated
B3GALNT2,339.549225799431,2.02816424533941,0.189008357474948,2.5700182654039e-09,2.5392530832487e-07,Upregulated
ZNF669,47.0588336287226,2.0499845336698,0.283347942391076,9.16136409702992e-06,0.000397153522591706,Upregulated
DIP2C,202.540177013897,1.71751115948099,0.325054505956478,0.00189814531343244,0.0405643020718151,Upregulated
KLF6,2682.38394214776,2.36073135358351,0.276834612965234,3.30047018603682e-08,2.50984069877496e-06,Upregulated
ARL5B,528.817330488201,3.00008309795158,0.460782818750332,3.21958177664589e-07,1.93690039683017e-05,Upregulated
ZEB1-AS1,49.5103320870534,2.34257183066612,0.294905395855524,1.92105797768014e-07,1.2265773955603e-05,Upregulated
EPC1,342.605591151982,2.32511182329608,0.227103717966648,2.17567499180445e-10,2.67726697173318e-08,Upregulated
