gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,stat
LCK,5.62811766731453,-16.0553112050005,1.15565342447247,3.07021506570433e-39,8.31168622587477e-36,Downregulated
TMEM125,27.488583653048,-30.6123734999029,1.05124631939087,2.07907315279897e-175,2.81423341962869e-171,Downregulated
TXNIP,2299.49203335923,3.11043664467811,0.645067921166206,1.78398870091653e-05,0.0172486221825758,Upregulated
S100A7,27.6535195525256,-16.1686719728143,1.40596936269222,1.39037915950337e-27,2.68859604329109e-24,Downregulated
LAMC2,22781.3626608753,2.42947068979795,0.391025839758206,1.74103473954054e-05,0.0172486221825758,Upregulated
MMP10,102.860630046381,2.8381793793784,0.623360052008043,6.19851037294638e-05,0.0383318062241341,Upregulated
MMP12,9.44423662698193,24.4156720124009,1.05980732139241,8.34322817297287e-109,2.82334841373402e-105,Upregulated
CACNA1C,5.15972862660494,-39.0382590724957,1.67591186639584,3.01178789791811e-115,1.35891869954065e-111,Downregulated
NTS,499.288978748041,-4.94782369694817,1.73423680530784,8.94957282741347e-06,0.0100951181493224,Downregulated
FOS,1125.96125455921,-4.49728200079052,0.912066816469916,3.14582109810332e-07,0.000425818343839266,Downregulated
CDH16,12.8489824830706,-3.77934269326487,1.03943604857634,1.99080760890281e-05,0.017965047862739,Downregulated
FOSB,408.723044542327,-5.25541027856774,1.08883285219277,9.65133986627368e-08,0.000145156151588756,Downregulated
FUT1,40.6225609767067,2.89145473050215,0.601529499920793,3.64656766613674e-05,0.0290352587816629,Upregulated
IL1A,1390.76882349649,2.93787492147538,0.67908948182048,6.23005124801234e-05,0.0383318062241341,Upregulated
EGFLAM,9.75482252783512,-28.7564856592618,1.16567992131574,4.3517747941918e-126,2.94528118070901e-122,Downregulated
EGR1,1152.76148582914,-6.06589054901737,1.01195422289793,3.21082169855462e-10,5.43271031395442e-07,Downregulated
STC2,1085.27846326984,2.34646357104811,0.392353554806666,3.93763794808912e-05,0.0296110373696302,Upregulated
TREM1,281.138259605257,3.37042133483927,0.846529751087354,3.14770651748566e-05,0.0266295971379287,Upregulated
MIR30A,40.1169638470397,7.5816115310075,11.4752117303292,5.27942770552767e-05,0.0376117544326434,Upregulated
BAALC,7.28186527194274,20.5159327783912,1.51625667698135,1.90503241928959e-38,4.2977531379173e-35,Upregulated
AQP3,418.248074265596,-2.59353022875782,0.508173806283137,6.22976666126445e-05,0.0383318062241341,Downregulated
GJB1,46.9172746072445,-5.28418073796973,1.76600704894768,5.53700458817636e-06,0.00681353582777774,Downregulated
