"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","46/570","452/18706",0.101769911504425,3.33983853438907,8.92733051475307,7.71418805027467e-13,6.74691885461761e-10,6.74691885461761e-10,"FOXC2/MEIS1/IKZF3/SIX4/TWIST1/DBP/EGR3/EGR2/RBPJ/ZEB2/NFE2L2/POU2F1/RLF/EGR1/ZNF292/CREBRF/JUN/IRF4/GRHL1/FOXO3/IRF1/KLF6/HSF2/NR4A3/PROX1/ATF3/MAFG/ZNF639/GLI3/JUNB/MAFF/ATF4/FOSB/ZNF143/CSRNP1/HOXC10/NFKB1/ZNF24/SOX17/DDIT3/VEZF1/STAT5A/KLF10/FOXO1/KLF7/REL",46
"GO:0001216","DNA-binding transcription activator activity","46/570","460/18706",0.1,3.28175438596491,8.78434744780091,1.43898150956703e-12,6.74691885461761e-10,6.74691885461761e-10,"FOXC2/MEIS1/IKZF3/SIX4/TWIST1/DBP/EGR3/EGR2/RBPJ/ZEB2/NFE2L2/POU2F1/RLF/EGR1/ZNF292/CREBRF/JUN/IRF4/GRHL1/FOXO3/IRF1/KLF6/HSF2/NR4A3/PROX1/ATF3/MAFG/ZNF639/GLI3/JUNB/MAFF/ATF4/FOSB/ZNF143/CSRNP1/HOXC10/NFKB1/ZNF24/SOX17/DDIT3/VEZF1/STAT5A/KLF10/FOXO1/KLF7/REL",46
"GO:0001217","DNA-binding transcription repressor activity","37/570","312/18706",0.118589743589744,3.89182411156095,9.13180462023109,1.58378376868958e-12,6.74691885461761e-10,6.74691885461761e-10,"HES1/TGIF2/GZF1/ZC3H4/TWIST1/FOXP1/ZEB2/MXD1/SALL1/ZBTB20/JUN/NR1D1/FOXO3/ZBTB6/PROX1/THAP1/PRDM1/ZBTB1/ZNF350/ATF3/BHLHE41/BCL6B/GLI3/NFIL3/HIVEP1/PURB/IKZF5/ETS2/NFKB1/ZBTB49/ZBTB5/ZBTB10/BHLHE40/ZBTB21/ZBTB2/FOXO1/SKIL",37
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","36/570","302/18706",0.119205298013245,3.91202509585221,9.04457164159063,2.74043699713485e-12,8.75569620584585e-10,8.75569620584585e-10,"HES1/TGIF2/GZF1/ZC3H4/FOXP1/ZEB2/MXD1/SALL1/ZBTB20/JUN/NR1D1/FOXO3/ZBTB6/PROX1/THAP1/PRDM1/ZBTB1/ZNF350/ATF3/BHLHE41/BCL6B/GLI3/NFIL3/HIVEP1/PURB/IKZF5/ETS2/NFKB1/ZBTB49/ZBTB5/ZBTB10/BHLHE40/ZBTB21/ZBTB2/FOXO1/SKIL",36
"GO:0140297","DNA-binding transcription factor binding","45/570","489/18706",0.0920245398773006,3.02001937358734,8.02448307961035,4.28763209552604e-11,1.09591876361646e-08,1.09591876361646e-08,"RNF6/CRTC2/DLL1/PARP10/HES1/TWIST1/BCL10/FOXP1/HDAC9/TBK1/EGR2/CRKL/RBPJ/NFE2L2/JUN/GRHL1/VDR/KDM3A/OASL/NR4A3/LMO2/PROX1/CRY1/BHLHE41/MED30/PURB/ATF4/ETS2/ZBTB49/CCNT1/MED13/BHLHE40/IFI27/TBX6/SOX17/BCL3/DDIT3/CD34/KAT6A/PER1/NKX3-1/HCLS1/GTF2B/STAT5A/NFKBIA",45
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","34/570","351/18706",0.0968660968660969,3.17890738241615,7.30568032227908,2.97763881444345e-09,6.34237067476455e-07,6.34237067476455e-07,"RNF6/DLL1/HES1/BCL10/FOXP1/HDAC9/TBK1/EGR2/CRKL/RBPJ/NFE2L2/JUN/VDR/KDM3A/OASL/NR4A3/LMO2/PROX1/CRY1/BHLHE41/MED30/ATF4/ETS2/MED13/BHLHE40/IFI27/TBX6/SOX17/DDIT3/CD34/NKX3-1/HCLS1/GTF2B/NFKBIA",34
"GO:1990841","promoter-specific chromatin binding","11/570","80/18706",0.1375,4.51241228070175,5.58131085687271,2.97965558210018e-05,0.0053204872119229,0.0053204872119229,"FOXC2/IKZF3/ZC3H4/FOSL1/EGR1/PRDM1/ATF4/EED/GTF2B/STAT5A/FOXO1",11
"GO:0001221","transcription coregulator binding","14/570","127/18706",0.110236220472441,3.61768200027628,5.24750801226872,3.3305084268688e-05,0.0053204872119229,0.0053204872119229,"HES1/TWIST1/NFE2L2/CCNT2/PER2/NR1D1/FOXO3/NR4A3/LMO2/PER3/NFKB1/ZBTB49/EED/PER1",14
"GO:0019783","ubiquitin-like protein peptidase activity","13/570","127/18706",0.102362204724409,3.35927614311369,4.72949749543178,0.000135516977979719,0.0192434108731201,0.0192434108731201,"USPL1/OTUD3/USP43/TNFAIP3/USP18/MYSM1/YOD1/CYLD/ZC3H12A/USP42/USP37/SENP7/TANK",13
"GO:0005125","cytokine activity","19/570","241/18706",0.0788381742738589,2.58727524204703,4.39674864196655,0.000156994015659796,0.0200638352013219,0.0200638352013219,"IL11/CXCL2/CSF2/SCG2/IFNL1/CXCL11/TNF/IFNL2/CSF3/IL23A/IFNB1/CCL2/IFNL3/IL1A/CCL20/TNFSF10/LTB/CXCL3/CXCL1",19
"GO:0016922","nuclear receptor binding","13/570","138/18706",0.0942028985507246,3.09150775489448,4.3718171480143,0.000310295482813627,0.0360506933668923,0.0360506933668923,"RNF6/FOXP1/VDR/KDM3A/OASL/NR4A3/PROX1/CRY1/MED30/ETS2/MED13/NKX3-1/GTF2B",13
