"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","22/251","119/9411",0.184873949579832,6.93166828484382,10.7790297816611,4.86572208192892e-13,1.71273417283898e-10,1.71273417283898e-10,"2920/1437/9586/6401/64127/7124/3725/329/7128/3659/3456/6347/1540/3726/5743/468/4790/6364/602/2921/2919/4792",22
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","17/251","94/9411",0.180851063829787,6.78083411036704,9.32395827782751,3.42697495314148e-10,6.031475917529e-08,6.031475917529e-08,"2920/1437/29110/8061/7124/3725/7128/1440/6347/5743/2354/6278/4790/6364/2921/2919/4792",17
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","16/251","105/9411",0.152380952380952,5.713375071144,8.03950040776902,1.52953283942116e-08,1.79465186492083e-06,1.79465186492083e-06,"148022/2920/8915/7124/5971/329/7128/695/1540/5743/597/4790/4050/2921/2919/4792",16
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","21/251","187/9411",0.112299465240642,4.21055883418199,7.34050137936961,2.3145607098427e-08,2.03681342466157e-06,2.03681342466157e-06,"148022/2920/29110/3665/64127/7124/3725/329/7128/3456/6347/3428/4790/4939/81631/2921/2919/10010/4792/6773/4793",21
"Human Diseases","Infectious disease: viral","hsa05162","Measles","17/251","136/9411",0.125,4.68675298804781,7.16870107981158,1.1033150093426e-07,7.76733766577187e-06,7.76733766577187e-06,"64135/1027/29110/3665/4600/4599/3725/7128/3456/4790/3552/4939/27113/6776/4792/6773/4793",17
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","9/251","34/9411",0.264705882352941,9.92488868057183,8.62967110270469,1.73279451164994e-07,1.01657278016797e-05,1.01657278016797e-05,"1628/8864/9572/8863/1407/79365/4783/8553/5187",9
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","21/251","216/9411",0.0972222222222222,3.64525232403718,6.51031570031112,2.81491692752809e-07,1.41550108355698e-05,1.41550108355698e-05,"148022/2920/29110/6401/4780/5451/3665/7124/3725/5452/3456/6347/468/4790/8743/1543/1649/2921/2919/10010/4792",21
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","12/251","72/9411",0.166666666666667,6.24900398406375,7.40076984759956,3.69900135210068e-07,1.6275605949243e-05,1.6275605949243e-05,"64135/29110/3665/7124/9636/79132/3456/1540/4790/10010/4792/4793",12
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","14/251","105/9411",0.133333333333333,4.999203187251,6.82135310034895,6.76630859328228e-07,2.64637847203929e-05,2.64637847203929e-05,"8915/1960/1959/7124/5971/3725/3659/51561/1540/5743/4790/602/4792/6773",14
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","18/251","173/9411",0.104046242774566,3.90111231375078,6.37503466511221,7.61245140838409e-07,2.6795828957512e-05,2.6795828957512e-05,"148022/64135/3841/29110/3665/4600/4599/7124/3456/6347/91543/4790/3552/4939/8743/4792/6773/4793",18
