"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","18/65","400/18842",0.045,13.0444615384615,14.3254715309981,1.04920030046905e-15,6.16929776675804e-12,6.16929776675804e-12,"DUOX2/IL12A/IFNL2/IL6/GBP5/ZBP1/NLRC5/NLRP1/IRF1/IFIT2/IFIT3/IFNB1/ZNFX1/TNF/USP18/IFNL3/TNFAIP3/TRIM22",18
"GO:0032496","response to lipopolysaccharide","16/65","302/18842",0.0529801324503311,15.3577177789098,14.7989045459063,4.07754621533138e-15,9.32964126902032e-12,9.32964126902032e-12,"CSF2/CD274/IL12A/IL6/GBP5/CYP1A1/PTAFR/CSF3/ANKRD1/IL1A/KMO/PDE4B/TNF/SERPINE1/VCAM1/TNFAIP3",16
"GO:0051607","defense response to virus","16/65","305/18842",0.0524590163934426,15.206658259773,14.7169453896241,4.76002105562261e-15,9.32964126902032e-12,9.32964126902032e-12,"IFNL2/IL6/GBP5/ZBP1/NLRC5/NLRP1/IRF1/IFIT2/IFIT3/IFNB1/ZNFX1/TNF/USP18/IFNL3/TNFAIP3/TRIM22",16
"GO:0002237","response to molecule of bacterial origin","16/65","319/18842",0.0501567398119122,14.5392814082469,14.3493042172623,9.59672249848636e-15,1.4107182072775e-11,1.4107182072775e-11,"CSF2/CD274/IL12A/IL6/GBP5/CYP1A1/PTAFR/CSF3/ANKRD1/IL1A/KMO/PDE4B/TNF/SERPINE1/VCAM1/TNFAIP3",16
"GO:0071222","cellular response to lipopolysaccharide","13/65","210/18842",0.0619047619047619,17.9447619047619,14.5281705801603,2.781802920263e-13,3.27140023422929e-10,3.27140023422929e-10,"CSF2/CD274/IL6/GBP5/PTAFR/CSF3/ANKRD1/IL1A/KMO/PDE4B/TNF/SERPINE1/TNFAIP3",13
"GO:0071219","cellular response to molecule of bacterial origin","13/65","223/18842",0.0582959641255605,16.8986547085202,14.0517425049175,6.00645036870449e-13,5.8863213613304e-10,5.8863213613304e-10,"CSF2/CD274/IL6/GBP5/PTAFR/CSF3/ANKRD1/IL1A/KMO/PDE4B/TNF/SERPINE1/TNFAIP3",13
"GO:0071216","cellular response to biotic stimulus","13/65","245/18842",0.0530612244897959,15.3812244897959,13.330701758132,1.99174143636245e-12,1.67306280654446e-09,1.67306280654446e-09,"CSF2/CD274/IL6/GBP5/PTAFR/CSF3/ANKRD1/IL1A/KMO/PDE4B/TNF/SERPINE1/TNFAIP3",13
"GO:0097191","extrinsic apoptotic signaling pathway","10/65","186/18842",0.0537634408602151,15.5847808105873,11.7609570018172,7.71265016499797e-10,5.43015190297603e-07,5.43015190297603e-07,"CSF2/ATF3/IL12A/IL1A/TRAF1/BCL2A1/G0S2/TNF/SERPINE1/TNFAIP3",10
"GO:0043065","positive regulation of apoptotic process","14/65","484/18842",0.0289256198347107,8.38486967577877,9.68385735436057,8.31145699435107e-10,5.43015190297603e-07,5.43015190297603e-07,"CD274/ATF3/IL12A/ADRB2/IL6/ZBP1/CYP1B1/ANKRD1/IFIT2/BCL2A1/IFNB1/G0S2/TNF/DUSP1",14
"GO:0070661","leukocyte proliferation","11/65","261/18842",0.0421455938697318,12.2170350722075,10.7364162263134,1.34944865903444e-09,7.9347581151225e-07,7.9347581151225e-07,"IRS2/CSF2/CD274/IL12A/IL6/IRF1/IL1A/LST1/IFNB1/VCAM1/TNFAIP3",11
"GO:0070663","regulation of leukocyte proliferation","10/65","224/18842",0.0446428571428571,12.9409340659341,10.5777024568742,4.66510557791685e-09,2.4937109816501e-06,2.4937109816501e-06,"IRS2/CSF2/CD274/IL12A/IL6/IRF1/IL1A/LST1/VCAM1/TNFAIP3",10
"GO:0050729","positive regulation of inflammatory response","9/65","166/18842",0.0542168674698795,15.716218721038,11.204794486581,5.38909828811390e-09,2.64065816117581e-06,2.64065816117581e-06,"IL6/GBP5/ZBP1/NLRP1/NFKBIA/IL1A/TRAF1/TNF/SERPINE1",9
"GO:0045088","regulation of innate immune response","13/65","482/18842",0.0269709543568465,7.81825726141079,8.92187459062667,8.3533687508503e-09,3.77829294269229e-06,3.77829294269229e-06,"CD274/IL12A/GBP5/ZBP1/NLRC5/NLRP1/NFKBIA/IRF1/IFNB1/ZNFX1/TNF/USP18/TNFAIP3",13
