"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","9/46","119/9411",0.0756302521008403,15.4729630982828,11.1351525611784,4.53156721095647e-09,1.59511165825668e-06,1.59511165825668e-06,"1437/3569/4792/3659/7185/3456/7124/7412/7128",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","11/46","298/9411",0.0369127516778524,7.55186752261453,8.05494150831471,1.32540016693455e-07,2.33270429380481e-05,2.33270429380481e-05,"1437/6373/3592/282616/3569/1440/3552/3456/7124/282617/3604",11
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","7/46","103/9411",0.0679611650485437,13.9039679189531,9.22855142062116,5.77622796141244e-07,6.77744080805726e-05,6.77744080805726e-05,"3592/3569/4792/624/3456/7124/5054",7
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","5/46","50/9411",0.1,20.4586956521739,9.66846304708929,4.01244794494031e-06,0.000353095419154748,0.000353095419154748,"3592/3569/1440/7124/7412",5
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","6/46","94/9411",0.0638297872340425,13.0587419056429,8.23469874561131,5.73952824263249e-06,0.000404062788281327,0.000404062788281327,"1437/3569/1440/4792/7124/7128",6
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/46","101/9411",0.0594059405940594,12.1536805854498,7.89812288042137,8.70789104967845e-06,0.000510862941581136,0.000510862941581136,"3569/3552/1282/7124/5054/7412",6
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","6/46","105/9411",0.0571428571428571,11.6906832298137,7.72037549383478,1.08972341787079e-05,0.000547975204415026,0.000547975204415026,"4792/7185/597/7124/7412/7128",6
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","6/46","109/9411",0.055045871559633,11.2616673314719,7.55201509612237,1.35127790228594e-05,0.000593818929592879,0.000593818929592879,"6373/3592/3569/4792/3456/7124",6
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","7/46","168/9411",0.0416666666666667,8.52445652173913,6.89672863402676,1.51828703589088e-05,0.000593818929592879,0.000593818929592879,"1437/3592/282616/3569/1440/3456/282617",7
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","5/46","72/9411",0.0694444444444444,14.2074275362319,7.88413648297468,2.44599376417392e-05,0.00086098980498922,0.00086098980498922,"3592/4792/3456/57169/7124",5
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","4/46","37/9411",0.108108108108108,22.117508813161,9.01988308405954,2.93247891521742e-05,0.000891114394966023,0.000891114394966023,"3592/3569/7124/7412",4
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","7/46","187/9411",0.0374331550802139,7.65833527086724,6.44535217818107,3.03788998283871e-05,0.000891114394966023,0.000891114394966023,"3569/115362/22861/4792/3456/7124/7128",7
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/46","78/9411",0.0641025641025641,13.1145484949833,7.52945839527913,3.61101279521563e-05,0.000977751156858387,0.000977751156858387,"3592/3569/3659/3552/7124",5
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/46","136/9411",0.0441176470588235,9.02589514066496,6.60732718661705,4.75083562882207e-05,0.00113173417778383,0.00113173417778383,"3592/3569/4792/3552/3456/7128",6
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","7/46","201/9411",0.0348258706467662,7.12491888384166,6.15160429877076,4.82273087123791e-05,0.00113173417778383,0.00113173417778383,"1437/8013/3569/5327/7185/597/51513",7
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","7/46","216/9411",0.0324074074074074,6.63013285024155,5.8666406642554,7.61171809972437e-05,0.00167457798193936,0.00167457798193936,"3592/3569/1543/4792/3456/7124/7412",7
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","5/46","100/9411",0.05,10.229347826087,6.50268455501699,0.000118884113077351,0.00246160045901339,0.00246160045901339,"1437/3569/1440/3552/7124",5
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","5/46","103/9411",0.0485436893203883,9.9314056563951,6.38748769960951,0.000136735320629145,0.00255435651553581,0.00255435651553581,"1437/3592/3569/1282/7124",5
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","7/46","239/9411",0.0292887029288703,5.99208659268692,5.47859092970278,0.0001434412846527,0.00255435651553581,0.00255435651553581,"1437/3592/3569/1440/4792/3456/7124",7
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","5/46","105/9411",0.0476190476190476,9.74223602484472,6.31328637437396,0.000149731482608571,0.00255435651553581,0.00255435651553581,"3592/3569/4792/3659/7124",5
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","4/46","56/9411",0.0714285714285714,14.6133540372671,7.16072661662855,0.000152390587574579,0.00255435651553581,0.00255435651553581,"3592/3569/4792/7124",4
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","6/46","173/9411",0.0346820809248555,7.09550138225685,5.67104826385596,0.000180106280290389,0.00288170048464623,0.00288170048464623,"3592/3569/4792/3552/3456/7124",6
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","4/46","66/9411",0.0606060606060606,12.399209486166,6.51293713862887,0.000288558151325691,0.00441619431594102,0.00441619431594102,"3592/3569/3552/7124",4
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","6/46","205/9411",0.0292682926829268,5.98791092258749,5.06034318332786,0.000449702849373282,0.00659564179080814,0.00659564179080814,"4734/3569/4792/3456/7124/7128",6
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","4/46","78/9411",0.0512820512820513,10.4916387959866,5.89926231646136,0.000547207038642476,0.00770467510408607,0.00770467510408607,"3592/4792/3552/7124",4
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","5/46","142/9411",0.0352112676056338,7.20376607470912,5.22039038763729,0.000607466935053444,0.00822416773610817,0.00822416773610817,"5327/3552/7124/7412/1843",5
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","5/46","144/9411",0.0347222222222222,7.10371376811594,5.17279968173295,0.000647404277437565,0.00844023354288973,0.00844023354288973,"3592/3569/4792/3456/7124",5
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","4/46","83/9411",0.0481927710843374,9.85961236249345,5.68171355211473,0.000692513521764079,0.00870588427360557,0.00870588427360557,"3569/81030/4792/3456",4
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","3/46","42/9411",0.0714285714285714,14.6133540372671,6.19673610492097,0.00109799174086472,0.0133273480270476,0.0133273480270476,"1545/1543/8564",3
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","4/46","95/9411",0.0421052631578947,8.61418764302059,5.22745706777852,0.00114958998519749,0.0134885224929839,0.0134885224929839,"1437/3569/3552/7124",4
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","3/46","44/9411",0.0681818181818182,13.9491106719368,6.03372979459093,0.00125808911404992,0.0142524710790141,0.0142524710790141,"3592/3552/7124",3
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","5/46","168/9411",0.0297619047619048,6.08889751552795,4.66435617104972,0.00129567918900128,0.0142524710790141,0.0142524710790141,"81030/3552/3456/7124/7128",5
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/46","45/9411",0.0666666666666667,13.6391304347826,5.95615803813909,0.00134336026471167,0.0143291761569245,0.0143291761569245,"3569/3552/7124",3
